id	music_style	music_genre	time	audio_mode	danceability	acousticness	music_rate	speachiness	review
1	Rock	Punk Rock	6.54	Stereo	0.5	0.78	5.7	0	An absolute hit! Perfect for dancing.
2	Electronic	Techno	3.2	Stereo	0.86	0.56	8.7	1	Great track with deep bass and smooth melody.
3	Jazz	Vocal Jazz	2.72	Stereo	0.66	0.42	6	0	A bit too repetitive for my taste.
4	Hip-Hop	Trap	4.45	Stereo	0.16	0.91	6	1	"Not my style, but well produced."
5	Pop	Pop Rock	6.93	Stereo	0.07	0.11	8.9	1	"Catchy and energetic, but lacks depth."
6	Pop	K-pop	3.21	Stereo		0.49	4.6	0	"Overhyped, but decent overall."
7	Pop	Pop Rock	5.36	Mono	0.03	0.01	2.2	1	A masterpiece with a blend of classic and modern elements.
8	Classical	Opera	5.81	Stereo	0.59	0.47	1.3	1	
9	Jazz	Bebop	3.19	Stereo	0.94	0.06	7.8	0	"Overhyped, but decent overall."
10	Jazz	Smooth Jazz	5.64	Stereo	0.58	0.12	6.6	1	"Not my style, but well produced."
11	Pop	Teen Pop	3.84	Stereo	0.39	0.12	7.3	0	"Catchy and energetic, but lacks depth."
12	Electronic	Dubstep	5.16	Mono	0.64	0.65	2.9	1	"Not my style, but well produced."
13	Classical	Baroque	5.17	Stereo	0.46	0.75	2.2	0	"Mellow and relaxing, ideal for studying."
14	Rock	Punk Rock	4.68	Stereo	0.55	0.58	1.1	0	Great track with deep bass and smooth melody.
15	Pop	Teen Pop	2.45	Stereo	0.94	0.96	4.2	1	A masterpiece with a blend of classic and modern elements.
16	Pop	K-pop	6.18	Stereo	0.39	0.37	6.3	1	Beautiful instrumental work.
17	Rock	Alternative Rock	3.6	Stereo	0.96	0.29	4.5	1	Great track with deep bass and smooth melody.
18	Hip-Hop	Trap	2.93	Stereo	0.91	0.87	4.9	1	Beautiful instrumental work.
19	Hip-Hop	Lo-fi Hip-Hop	2.2	Stereo	0.2	0.22	9.1	1	"Catchy and energetic, but lacks depth."
20	Rock	Punk Rock	4.95	Stereo	0.07	0.96	4.1	0	A bit too repetitive for my taste.
21	Jazz	Vocal Jazz	5.39	Stereo	0.1	0.01	5.6	1	"Unique sound, very experimental."
22	Pop	Teen Pop	2.08	Stereo	0.02	0.97	8.1	0	An absolute hit! Perfect for dancing.
23	Rock	Indie Rock	4.56	Stereo	0.09	0.04	4.6	0	Great track with deep bass and smooth melody.
24	Rock	Alternative Rock	3.13	Mono	0.68	0.89	6.6	1	A masterpiece with a blend of classic and modern elements.
25	Hip-Hop	Boom Bap	5.23	Stereo	0.07	0.53	8.8	0	"Not my style, but well produced."
26	Classical	Romantic	2.87	Stereo	0.32	0.99	9.5	0	A masterpiece with a blend of classic and modern elements.
27	Pop	K-pop	5.45	Stereo	0.84	0.07	2.3	0	"Catchy and energetic, but lacks depth."
28	Hip-Hop	Boom Bap	3.93	Stereo	0.02	0.55	9.3	0	Beautiful instrumental work.
29	Hip-Hop	Trap	6.68	Stereo	0.81	0.97	5.4	1	"Not my style, but well produced."
30	Pop	K-pop	2.69	Stereo	0.28	0.52	3.3	0	An absolute hit! Perfect for dancing.
